,Unnamed: 0,arg0,arg1,v
2591,2591, by delirium, 3, complicated
2594,2594, a condition, rapidly changing mental states, features
2595,2595, It, confusion and changes in behavior, causes
2605,2605, People with delirium, a full recovery, make
2608,2608," by fluctuations in orientation , concentration and ability to think clearly", A mental state, characterized
2609,2609," by the acute and sudden development of confusion , illusions , movement changes , inattentiveness , agitation , and hallucinations", A usually reversible condition, characterized
2612,2612, by CONFUSION, A disorder, characterized
2615,2615, people, of seizures, think
2616,2616, Not all seizures, convulsions, cause
2623,2623, who, seizures, recurring
2625,2625," by a sudden , involuntary skeletal muscular contractions of cerebral or brain stem origin", A disorder, characterized
2630,2630, Any abnormal condition of the body or mind," discomfort , dysfunction , or distress to the person affected or those in contact with the person", causes
2634,2634," by hallucinations ( typically auditory , but often in more than one sensory modality ) , perceptual distortions , delusions ( often of a paranoid or persecutory nature ) , psychomotor disturbances ( excitement or stupor ) , and an abnormal affect , which may range from intense fear to ecstasy", The disorder, characterized
2639,2639, by a false sensory perception, A disorder, characterized
2640,2640, by the individual, an appropriate stimulus, regarded
2642,2642, conditions," your thinking , feeling , mood , and behavior", affect
2649,2649, You," answer questions about your thinking , feelings , and behaviors", will
2650,2650, Treatment, on which mental disorder you have and how serious it is, depends
2651,2651, You and your provider, work on a treatment plan just for you, will
2654,2654, Some people, social support and education, need
2660,2660, by behavioral and/or psychological abnormalities, A disorder, characterized
2665,2665, Any abnormal condition of the body or mind," discomfort , dysfunction , or distress to the person affected or those in contact with the person", causes
2668,2668, A false belief, the self or persons or objects, regarding
2669,2669, by false personal beliefs, A disorder, characterized
2671,2671, False personal beliefs, contrary, held
2673,2673, The person, make voluntary movements, can
2676,2676," by bewilderment , emotional disturbance", A mental state, characterized
2679,2679, by a lack of clear and orderly thought and behavior, A disorder, characterized
2690,2690, conditions," your thinking , feeling , mood , and behavior", affect
2697,2697, You," answer questions about your thinking , feelings , and behaviors", will
2698,2698, Treatment, on which mental disorder you have and how serious it is, depends
2699,2699, You and your provider, work on a treatment plan just for you, will
2702,2702, Some people, social support and education, need
2708,2708, by behavioral and/or psychological abnormalities, A disorder, characterized
2713,2713, Any abnormal condition of the body or mind," discomfort , dysfunction , or distress to the person affected or those in contact with the person", causes
0,0," by fundamental and characteristic distortions of thinking and perception , and affects that are inappropriate or blunted", The schizophrenic disorders, characterized
3,3, by a conspicuous change in cognitive function, A disorder, characterized
7,7, Any abnormal condition of the body or mind," discomfort , dysfunction , or distress to the person affected or those in contact with the person", causes
13,13, by a false sensory perception, A disorder, characterized
14,14, by the individual, an appropriate stimulus, regarded
16,16, by the patient, Subjective evidence of disease, perceived
19,19, they, sense, make
20,20, The disorder, it hard for them to keep a job or take care of themselves, makes
23,23, Psychotic symptoms, a person 's thinking, distort
25,25," "" Negative "" symptoms", it difficult to show emotions and to function normally, make
27,27, Cognitive symptoms, the thought process, affect
29,29, what, schizophrenia, causes
36,36, by abnormalities in the perception or expression of reality, National Institute of Mental HealthA major psychotic disorder, characterized
37,37, It, the cognitive and psychomotor functions, affects
39,39, a person, the difference between real and unreal experiences, telling
41,41," by a retreat from reality with delusion formation , HALLUCINATIONS , emotional disharmony , and regressive behavior", A severe emotional disorder of psychotic depth, marked
43,43, by a deficit in cognition or memory, psychiatric disorders, characterized
44,44," by relatively stable , often paranoid delusions , usually accompanied by hallucinations , particularly of the auditory variety , and perceptual disturbances", Paranoid schizophrenia, dominated
46,46, by prominent delusions (, A subtype of schizophrenia, characterized
50,50, by a false sensory perception, A disorder, characterized
51,51, by the individual, an appropriate stimulus, regarded
53,53, by the patient, Subjective evidence of disease, perceived
63,63, by a false sensory perception, A disorder, characterized
64,64, by the individual, an appropriate stimulus, regarded
66,66, by frequent incoherence, A type of schizophrenia, characterized
